lineage,transfer,ln_cn,copy_number,n_reps,genotype,context
TFMN1.fba.tpiA.3,1,-0.3509769228240947,0.704,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.3,5,-0.32158362412746233,0.725,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.3,8,-0.27049724769768,0.763,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.3,20,-0.27575350158650713,0.759,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.3,32,-0.3696154552144672,0.691,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.4,1,-0.3011050927839216,0.74,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.4,5,-0.3960099493374092,0.673,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.4,8,-0.2484613592984996,0.78,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.4,20,-0.3841929728326246,0.681,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.4,32,-0.342490308946776,0.71,1,fba.tpiA,TFMN1 double-KO
TFMN1.noDNA.2,1,-0.34955747616986843,0.705,1,noDNA,control (noDNA)
TFMN1.noDNA.2,5,0.43954442176102704,1.552,1,noDNA,control (noDNA)
TFMN1.noDNA.2,10,0.6296747576043717,1.877,1,noDNA,control (noDNA)
TFMN1.noDNA.2,11,0.9464541712296191,2.6573333333333333,3,noDNA,control (noDNA)
TFMN1.noDNA.2,12,0.609221945622184,1.839,1,noDNA,control (noDNA)
TFMN1.noDNA.2,20,1.0081310967941726,2.7600000000000002,3,noDNA,control (noDNA)
TFMN1.noDNA.2,32,0.7917796143676252,2.2086666666666663,3,noDNA,control (noDNA)
TFMN1.noDNA.5,1,-0.40047756659712525,0.67,1,noDNA,control (noDNA)
TFMN1.noDNA.5,5,-0.3768776512562517,0.686,1,noDNA,control (noDNA)
TFMN1.pgi.1,1,-0.3783364407199117,0.685,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,5,0.4434029474485566,1.558,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,8,0.8870678731972518,2.428,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,9,0.8228587870816026,2.277,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,10,0.835080676448612,2.305,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,11,1.0423093781821822,2.862666666666667,3,pgi,TFMN1 single-KO
TFMN1.pgi.1,18,1.0296194171811581,2.8,1,pgi,TFMN1 single-KO
TFMN1.pgi.1,32,2.2305860503916723,9.38,3,pgi,TFMN1 single-KO
TFMN1.pgi.2,1,-0.3285040669720361,0.72,1,pgi,TFMN1 single-KO
TFMN1.pgi.2,5,0.02176149178151271,1.022,1,pgi,TFMN1 single-KO
TFMN1.pgi.2,18,0.6265314511669324,1.8869999999999998,3,pgi,TFMN1 single-KO
TFMN1.pgi.2,32,0.6850550765372919,1.99,3,pgi,TFMN1 single-KO
TFMN1.pgi.3,1,-0.2770718933397654,0.758,1,pgi,TFMN1 single-KO
TFMN1.pgi.3,5,-0.13696585507315742,0.872,1,pgi,TFMN1 single-KO
TFMN1.pgi.tpiA.1,1,-0.3783364407199117,0.685,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.1,5,-0.40947312950570314,0.664,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.1,11,-0.33267943838251673,0.717,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.1,20,-0.2382571891242579,0.788,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.1,32,-0.43850496218636453,0.645,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.2,1,-0.491022996469811,0.612,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.2,5,-0.34814004148889505,0.706,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.2,11,-0.41703174447962976,0.659,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.2,20,-0.3667252797922339,0.693,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.2,32,-0.35953617621976464,0.698,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.3,1,-0.3581045367483269,0.699,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.3,5,-0.4588658848352796,0.632,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.3,11,-0.43695577519953516,0.646,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.3,20,-0.4780358009429998,0.62,1,pgi.tpiA,TFMN1 double-KO
TFMN1.pgi.tpiA.3,32,-0.41703174447962976,0.659,1,pgi.tpiA,TFMN1 double-KO
TFMN1.sohB.1,1,-0.3509769228240947,0.704,1,sohB,TFMN1 single-KO
TFMN1.sohB.1,5,-0.028399474521698,0.972,1,sohB,TFMN1 single-KO
TFMN1.sohB.1,6,0.47513366361427595,1.6669999999999998,3,sohB,TFMN1 single-KO
TFMN1.sohB.4,1,-0.40346710544549125,0.668,1,sohB,TFMN1 single-KO
TFMN1.sohB.4,5,0.002995508979798371,1.003,1,sohB,TFMN1 single-KO
TFMN1.sohB.4,13,0.9458495341156995,2.575,1,sohB,TFMN1 single-KO
TFMN1.sohB.4,14,1.0260632131359857,2.7910000000000004,3,sohB,TFMN1 single-KO
TFMN1.sohB.4,15,0.9423482661934446,2.566,1,sohB,TFMN1 single-KO
TFMN1.sohB.4,18,0.9696419073711496,2.637,1,sohB,TFMN1 single-KO
TFMN1.sohB.4,25,0.8046347165477916,2.2771999999999997,5,sohB,TFMN1 single-KO
TFMN1.sohB.4,32,0.7877189377566808,2.215333333333333,3,sohB,TFMN1 single-KO
TFMN1.sohB.5,1,-0.355247391947547,0.701,1,sohB,TFMN1 single-KO
TFMN1.sohB.5,5,-0.07149600170506992,0.931,1,sohB,TFMN1 single-KO
TFMN1.sohB.5,18,0.5822713948590162,1.8019999999999998,3,sohB,TFMN1 single-KO
TFMN1.sohB.5,25,0.5905673442772216,1.818,5,sohB,TFMN1 single-KO
TFMN1.sohB.5,32,0.5444994912049129,1.7249999999999999,3,sohB,TFMN1 single-KO
TFMN1.sohB.pgi.2,1,-0.4307829160924542,0.65,1,sohB.pgi,TFMN1 double-KO
TFMN1.sohB.pgi.2,5,-0.40646560844174784,0.666,1,sohB.pgi,TFMN1 double-KO
TFMN1.sohB.pgi.5,1,-0.3581045367483269,0.699,1,sohB.pgi,TFMN1 double-KO
TFMN1.sohB.pgi.5,5,-0.3812604194113469,0.683,1,sohB.pgi,TFMN1 double-KO
TFMN1.sohB.tpiA.2,1,-0.3509769228240947,0.704,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.2,5,-0.3915622029391729,0.676,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.2,11,-0.4652151125139384,0.628,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.2,20,-0.3133418192323586,0.731,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.2,32,-0.2446225829913339,0.783,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.5,1,-0.342490308946776,0.71,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.5,5,-0.11765804346823246,0.889,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.5,11,0.5982868995359851,1.819,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.5,20,0.5698489642154517,1.768,1,sohB.tpiA,TFMN1 double-KO
TFMN1.sohB.tpiA.5,32,0.3074846997479607,1.36,1,sohB.tpiA,TFMN1 double-KO
TFMN1.tpiA.2,1,-0.3841929728326246,0.681,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.2,5,-0.33267943838251673,0.717,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.2,11,-0.2970592342643779,0.743,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.2,20,-0.27575350158650713,0.759,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.2,32,-0.24207156119972859,0.785,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.5,1,-0.3011050927839216,0.74,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.5,5,-0.2783920255446883,0.757,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.5,11,-0.060812139396757475,0.941,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.5,20,-0.25747623039471507,0.773,1,tpiA,TFMN1 single-KO
TFMN1.tpiA.5,32,-0.43232256227804705,0.649,1,tpiA,TFMN1 single-KO
TFMN4.exp1.combo10MUT.1,8,-0.3624056186477175,0.696,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.1,9,-0.21691300156357363,0.805,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.1,30,-0.08338160893905101,0.92,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.2,8,-0.2045671657412744,0.815,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.2,9,-0.28103752973311236,0.755,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.2,30,-0.1839228381609285,0.832,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.3,8,-0.22564668153232822,0.798,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.3,9,-0.20825493882045903,0.812,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.3,30,-0.24718012914245105,0.781,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.4,8,-0.1427163022015952,0.867,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.4,9,-0.20211618412213422,0.817,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.4,30,-0.05551270993025883,0.946,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.5,8,-0.2156715364755087,0.806,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.5,9,-0.20089294237939007,0.818,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10MUT.5,30,-0.1972321695297089,0.821,1,combo10MUT,TFMN4 exp1
TFMN4.exp1.combo10WT.1,9,0.4101209196443583,1.507,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.1,30,0.9666035457477442,2.629,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.2,9,1.0057657383017578,2.734,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.2,30,1.5505368045139394,4.714,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.3,8,0.0769610411361284,1.08,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.3,9,0.35487332199210414,1.426,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.3,30,1.3131858892992523,3.718,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.4,8,0.12133228516752496,1.129,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.4,9,0.5738004229273791,1.775,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.4,30,1.3376291891386096,3.81,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.5,8,0.07045846364856137,1.073,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.5,9,0.3611648492115845,1.435,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo10WT.5,30,0.9313763692921958,2.538,1,combo10WT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.1,8,0.2799018851328186,1.323,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.1,9,0.36949244764934686,1.447,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.1,30,-0.2045671657412744,0.815,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.2,8,0.302324349188651,1.353,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.2,9,0.3750059006234559,1.455,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.2,30,1.237214138105738,3.446,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.3,8,-0.038740828316430595,0.962,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.3,9,0.4649910874221913,1.592,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.3,30,0.8907677746430691,2.437,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.4,8,0.07232066157962608,1.075,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.4,9,0.06297479916138839,1.065,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.4,30,-0.02326862693935433,0.977,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.5,8,-0.020202707317519466,0.98,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.5,9,0.28367405105424215,1.328,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aMUT.5,30,1.308062512850317,3.699,1,combo5aMUT,TFMN4 exp1
TFMN4.exp1.combo5aWT.1,8,0.23031775506221003,1.259,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.1,9,0.3562748639173926,1.428,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.1,30,1.354287564984804,3.874,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.2,9,0.2768738737351775,1.319,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.2,30,0.25231392861398955,1.287,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.3,8,0.10526051065749294,1.111,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.3,9,0.6611403844248589,1.937,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.3,30,1.634715719618369,5.128,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.4,8,1.1072416153661642,3.026,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.4,9,1.545645779346321,4.691,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.4,30,1.5029656679235837,4.495,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.5,8,0.7338091622788351,2.083,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.5,9,0.7395535533741011,2.095,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5aWT.5,30,0.9138878472578448,2.494,1,combo5aWT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.1,8,0.2768738737351775,1.319,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.1,9,0.5955343516929449,1.814,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.1,30,1.1239550963399048,3.077,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.2,8,0.03440142671733232,1.035,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.2,9,0.19638881400539018,1.217,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.2,30,0.4774756440844366,1.612,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.3,8,0.12486898204586927,1.133,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.3,9,0.2723145953206591,1.313,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.3,30,0.4574248470388755,1.58,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.4,8,0.4731237565819792,1.605,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.4,9,0.39944703578260143,1.491,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.4,30,0.1922718876471227,1.212,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.5,8,0.32570013963930183,1.385,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.5,9,0.4265740713183996,1.532,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.combo5bMUT.5,30,1.1397542319992848,3.126,1,combo5bMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.1,8,-0.1839228381609285,0.832,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.1,9,-0.24334625863172918,0.784,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.1,30,-0.10536051565782628,0.9,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.2,8,-0.08012604447928486,0.923,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.2,9,0.15272108701766393,1.165,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.2,30,0.42983246455645874,1.537,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.3,8,-0.2294131643278051,0.795,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.3,9,-0.22189433191377778,0.801,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.3,30,0.10526051065749294,1.111,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.4,8,-0.16134315040876293,0.851,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.4,9,-0.21691300156357363,0.805,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.4,30,-0.15082288973458366,0.86,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.5,8,-0.22815609313775398,0.796,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.5,9,-0.23698895813626278,0.789,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT-tpiAMUT.5,30,0.0009995003330834232,1.001,1,fbaMUT-tpiAMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.1,8,0.20701416938432612,1.23,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.1,9,0.4478858239921165,1.565,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.1,30,1.4214201630952648,4.143,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.2,8,0.11064652008706365,1.117,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.2,9,0.445326641533295,1.561,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.2,30,1.0220911507603667,2.779,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.3,8,0.07973496801885352,1.083,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.3,9,0.29192306670903545,1.339,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.3,30,0.2859305394129745,1.331,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.4,9,0.04018178963283176,1.041,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.4,30,0.044973365642731196,1.046,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.5,8,0.018821754240587667,1.019,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaMUT.5,30,1.5422291627406504,4.675,1,fbaMUT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.1,8,0.32063317259146673,1.378,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.1,9,0.5080216964332565,1.662,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.1,30,1.5627655042356696,4.772,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.2,8,-0.1301086853470204,0.878,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.2,9,0.5782973388810033,1.783,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.2,30,1.6156187715091814,5.031,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.3,8,0.1922718876471227,1.212,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.3,9,0.17227122094045313,1.188,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.3,30,0.06578774053800315,1.068,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.4,9,0.43048287108345223,1.538,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.4,30,1.2430011912934145,3.466,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.5,9,0.7376424204464966,2.091,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT-tpiAWT.5,30,1.2478939913838643,3.483,1,fbaWT-tpiAWT,TFMN4 exp1
TFMN4.exp1.fbaWT.1,8,-0.04709160753385057,0.954,1,fbaWT,TFMN4 exp1
TFMN4.exp1.fbaWT.1,9,0.45298462407614076,1.573,1,fbaWT,TFMN4 exp1
TFMN4.exp1.fbaWT.1,30,1.5234441992671244,4.588,1,fbaWT,TFMN4 exp1
TFMN4.exp1.fbaWT.2,8,0.04974209189481401,1.051,1,fbaWT,TFMN4 exp1
TFMN4.exp1.fbaWT.2,9,0.41144717978571177,1.509,1,fbaWT,TFMN4 exp1
