series,transfer,reading,od,Condition,Microtiter_plate_well,background,datetime
exp2,1,contam,0.036,Methoxybenzoate 4 mM + Kan,E9,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,contam,0.039,Methoxybenzoate 4 mM + Kan,F4,0.0383888888888888,2026-04-09 17:26:27.174344
exp2,1,0,0.316,Methoxybenzoate 4 mM + Kan,B4,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.294,Methoxybenzoate 4 mM + Kan,B5,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.304,Methoxybenzoate 4 mM + Kan,C4,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.218,Methoxybenzoate 4 mM + Kan,C9,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.31,Methoxybenzoate 4 mM + Kan,D4,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.292,Methoxybenzoate 4 mM + Kan,D5,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.152,Methoxybenzoate 4 mM + Kan,D9,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.25,Methoxybenzoate 4 mM + Kan,D10,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.314,Methoxybenzoate 4 mM + Kan,E4,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.165,Methoxybenzoate 4 mM + Kan,E9,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,0,0.334,Methoxybenzoate 4 mM + Kan,F4,0.0383888888888888,2026-04-09 17:41:32.539862
exp2,1,1,0.414,Methoxybenzoate 4 mM + Kan,B4,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.395,Methoxybenzoate 4 mM + Kan,B5,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.412,Methoxybenzoate 4 mM + Kan,C4,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.427,Methoxybenzoate 4 mM + Kan,C9,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.42,Methoxybenzoate 4 mM + Kan,D4,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.399,Methoxybenzoate 4 mM + Kan,D5,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.279,Methoxybenzoate 4 mM + Kan,D9,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.399,Methoxybenzoate 4 mM + Kan,D10,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.422,Methoxybenzoate 4 mM + Kan,E4,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.33,Methoxybenzoate 4 mM + Kan,E9,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,1,0.415,Methoxybenzoate 4 mM + Kan,F4,0.0384722222222222,2026-04-09 19:50:50.263734
exp2,1,2,0.4,Methoxybenzoate 4 mM + Kan,B4,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.391,Methoxybenzoate 4 mM + Kan,B5,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.384,Methoxybenzoate 4 mM + Kan,C4,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.496,Methoxybenzoate 4 mM + Kan,C9,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.399,Methoxybenzoate 4 mM + Kan,D4,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.396,Methoxybenzoate 4 mM + Kan,D5,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.348,Methoxybenzoate 4 mM + Kan,D9,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.497,Methoxybenzoate 4 mM + Kan,D10,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.398,Methoxybenzoate 4 mM + Kan,E4,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.431,Methoxybenzoate 4 mM + Kan,E9,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,2,0.397,Methoxybenzoate 4 mM + Kan,F4,0.0382222222222222,2026-04-09 22:00:15.692343
exp2,1,3,0.407,Methoxybenzoate 4 mM + Kan,B4,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.393,Methoxybenzoate 4 mM + Kan,B5,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.396,Methoxybenzoate 4 mM + Kan,C4,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.474,Methoxybenzoate 4 mM + Kan,C9,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.402,Methoxybenzoate 4 mM + Kan,D4,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.4,Methoxybenzoate 4 mM + Kan,D5,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.468,Methoxybenzoate 4 mM + Kan,D9,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.392,Methoxybenzoate 4 mM + Kan,D10,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.406,Methoxybenzoate 4 mM + Kan,E4,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.464,Methoxybenzoate 4 mM + Kan,E9,0.03825,2026-04-10 00:11:12.732903
exp2,1,3,0.412,Methoxybenzoate 4 mM + Kan,F4,0.03825,2026-04-10 00:11:12.732903
exp2,1,4,0.402,Methoxybenzoate 4 mM + Kan,B4,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.398,Methoxybenzoate 4 mM + Kan,B5,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.399,Methoxybenzoate 4 mM + Kan,C4,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.485,Methoxybenzoate 4 mM + Kan,C9,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.405,Methoxybenzoate 4 mM + Kan,D4,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.409,Methoxybenzoate 4 mM + Kan,D5,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.465,Methoxybenzoate 4 mM + Kan,D9,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.405,Methoxybenzoate 4 mM + Kan,D10,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.41,Methoxybenzoate 4 mM + Kan,E4,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.505,Methoxybenzoate 4 mM + Kan,E9,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,4,0.412,Methoxybenzoate 4 mM + Kan,F4,0.0380277777777777,2026-04-10 02:20:45.838272
exp2,1,5,0.395,Methoxybenzoate 4 mM + Kan,B4,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.396,Methoxybenzoate 4 mM + Kan,B5,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.394,Methoxybenzoate 4 mM + Kan,C4,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.482,Methoxybenzoate 4 mM + Kan,C9,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.401,Methoxybenzoate 4 mM + Kan,D4,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.406,Methoxybenzoate 4 mM + Kan,D5,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.412,Methoxybenzoate 4 mM + Kan,D9,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.383,Methoxybenzoate 4 mM + Kan,D10,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.403,Methoxybenzoate 4 mM + Kan,E4,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.498,Methoxybenzoate 4 mM + Kan,E9,0.03775,2026-04-10 04:30:10.826386
exp2,1,5,0.407,Methoxybenzoate 4 mM + Kan,F4,0.03775,2026-04-10 04:30:10.826386
exp2,1,6,0.399,Methoxybenzoate 4 mM + Kan,B4,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.399,Methoxybenzoate 4 mM + Kan,B5,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.396,Methoxybenzoate 4 mM + Kan,C4,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.487,Methoxybenzoate 4 mM + Kan,C9,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.404,Methoxybenzoate 4 mM + Kan,D4,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.411,Methoxybenzoate 4 mM + Kan,D5,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.504,Methoxybenzoate 4 mM + Kan,D9,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.463,Methoxybenzoate 4 mM + Kan,D10,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.407,Methoxybenzoate 4 mM + Kan,E4,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.497,Methoxybenzoate 4 mM + Kan,E9,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,6,0.409,Methoxybenzoate 4 mM + Kan,F4,0.0394444444444444,2026-04-10 06:39:35.300364
exp2,1,7,0.389,Methoxybenzoate 4 mM + Kan,B4,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.396,Methoxybenzoate 4 mM + Kan,B5,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.392,Methoxybenzoate 4 mM + Kan,C4,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.453,Methoxybenzoate 4 mM + Kan,C9,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.398,Methoxybenzoate 4 mM + Kan,D4,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.405,Methoxybenzoate 4 mM + Kan,D5,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.439,Methoxybenzoate 4 mM + Kan,D9,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.422,Methoxybenzoate 4 mM + Kan,D10,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.4,Methoxybenzoate 4 mM + Kan,E4,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.406,Methoxybenzoate 4 mM + Kan,E9,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,7,0.404,Methoxybenzoate 4 mM + Kan,F4,0.0382222222222222,2026-04-10 08:48:53.137330
exp2,1,8,0.381,Methoxybenzoate 4 mM + Kan,B4,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.393,Methoxybenzoate 4 mM + Kan,B5,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.387,Methoxybenzoate 4 mM + Kan,C4,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.476,Methoxybenzoate 4 mM + Kan,C9,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.394,Methoxybenzoate 4 mM + Kan,D4,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.402,Methoxybenzoate 4 mM + Kan,D5,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.444,Methoxybenzoate 4 mM + Kan,D9,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.373,Methoxybenzoate 4 mM + Kan,D10,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.397,Methoxybenzoate 4 mM + Kan,E4,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.498,Methoxybenzoate 4 mM + Kan,E9,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,8,0.401,Methoxybenzoate 4 mM + Kan,F4,0.0391388888888888,2026-04-10 10:58:37.604990
exp2,1,9,0.379,Methoxybenzoate 4 mM + Kan,B4,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.393,Methoxybenzoate 4 mM + Kan,B5,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.384,Methoxybenzoate 4 mM + Kan,C4,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.443,Methoxybenzoate 4 mM + Kan,C9,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.391,Methoxybenzoate 4 mM + Kan,D4,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.401,Methoxybenzoate 4 mM + Kan,D5,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.351,Methoxybenzoate 4 mM + Kan,D9,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.362,Methoxybenzoate 4 mM + Kan,D10,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.395,Methoxybenzoate 4 mM + Kan,E4,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.485,Methoxybenzoate 4 mM + Kan,E9,0.039,2026-04-10 13:08:09.721851
exp2,1,9,0.401,Methoxybenzoate 4 mM + Kan,F4,0.039,2026-04-10 13:08:09.721851
exp2,1,10,0.376,Methoxybenzoate 4 mM + Kan,B4,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.394,Methoxybenzoate 4 mM + Kan,B5,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.385,Methoxybenzoate 4 mM + Kan,C4,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.441,Methoxybenzoate 4 mM + Kan,C9,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.392,Methoxybenzoate 4 mM + Kan,D4,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.401,Methoxybenzoate 4 mM + Kan,D5,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.465,Methoxybenzoate 4 mM + Kan,D9,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.376,Methoxybenzoate 4 mM + Kan,D10,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.39,Methoxybenzoate 4 mM + Kan,E4,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.495,Methoxybenzoate 4 mM + Kan,E9,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,10,0.4,Methoxybenzoate 4 mM + Kan,F4,0.0388333333333333,2026-04-10 15:17:34.703934
exp2,1,11,0.367,Methoxybenzoate 4 mM + Kan,B4,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.393,Methoxybenzoate 4 mM + Kan,B5,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.383,Methoxybenzoate 4 mM + Kan,C4,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.457,Methoxybenzoate 4 mM + Kan,C9,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.389,Methoxybenzoate 4 mM + Kan,D4,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.399,Methoxybenzoate 4 mM + Kan,D5,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.373,Methoxybenzoate 4 mM + Kan,D9,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.479,Methoxybenzoate 4 mM + Kan,D10,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.391,Methoxybenzoate 4 mM + Kan,E4,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.495,Methoxybenzoate 4 mM + Kan,E9,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,11,0.401,Methoxybenzoate 4 mM + Kan,F4,0.0380555555555555,2026-04-10 17:27:42.534667
exp2,1,12,0.363,Methoxybenzoate 4 mM + Kan,B4,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.39,Methoxybenzoate 4 mM + Kan,B5,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.379,Methoxybenzoate 4 mM + Kan,C4,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.458,Methoxybenzoate 4 mM + Kan,C9,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.385,Methoxybenzoate 4 mM + Kan,D4,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.395,Methoxybenzoate 4 mM + Kan,D5,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.444,Methoxybenzoate 4 mM + Kan,D9,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.385,Methoxybenzoate 4 mM + Kan,D10,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.382,Methoxybenzoate 4 mM + Kan,E4,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.495,Methoxybenzoate 4 mM + Kan,E9,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,1,12,0.392,Methoxybenzoate 4 mM + Kan,F4,0.0367777777777777,2026-04-10 19:44:36.777736
exp2,2,contam,0.038,Methoxybenzoate 4 mM + Kan,B4,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.038,Methoxybenzoate 4 mM + Kan,B5,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.036,Methoxybenzoate 4 mM + Kan,C4,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.037,Methoxybenzoate 4 mM + Kan,C9,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.038,Methoxybenzoate 4 mM + Kan,D4,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.037,Methoxybenzoate 4 mM + Kan,D5,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.037,Methoxybenzoate 4 mM + Kan,D9,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.035,Methoxybenzoate 4 mM + Kan,D10,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.036,Methoxybenzoate 4 mM + Kan,E4,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.036,Methoxybenzoate 4 mM + Kan,E9,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,contam,0.036,Methoxybenzoate 4 mM + Kan,F4,0.0378333333333333,2026-04-10 19:51:52.452038
exp2,2,0,0.097,Methoxybenzoate 4 mM + Kan,B4,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.072,Methoxybenzoate 4 mM + Kan,B5,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.082,Methoxybenzoate 4 mM + Kan,C4,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.075,Methoxybenzoate 4 mM + Kan,C9,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.088,Methoxybenzoate 4 mM + Kan,D4,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.067,Methoxybenzoate 4 mM + Kan,D5,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.085,Methoxybenzoate 4 mM + Kan,D9,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.087,Methoxybenzoate 4 mM + Kan,D10,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.094,Methoxybenzoate 4 mM + Kan,E4,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.077,Methoxybenzoate 4 mM + Kan,E9,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,0,0.086,Methoxybenzoate 4 mM + Kan,F4,0.0389444444444444,2026-04-10 20:06:37.961869
exp2,2,1,0.144,Methoxybenzoate 4 mM + Kan,B4,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.111,Methoxybenzoate 4 mM + Kan,B5,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.138,Methoxybenzoate 4 mM + Kan,C4,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.09,Methoxybenzoate 4 mM + Kan,C9,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.14,Methoxybenzoate 4 mM + Kan,D4,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.114,Methoxybenzoate 4 mM + Kan,D5,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.138,Methoxybenzoate 4 mM + Kan,D9,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.113,Methoxybenzoate 4 mM + Kan,D10,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.139,Methoxybenzoate 4 mM + Kan,E4,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.141,Methoxybenzoate 4 mM + Kan,E9,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,1,0.134,Methoxybenzoate 4 mM + Kan,F4,0.0391388888888889,2026-04-10 22:16:02.561507
exp2,2,2,0.159,Methoxybenzoate 4 mM + Kan,B4,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.13,Methoxybenzoate 4 mM + Kan,B5,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.147,Methoxybenzoate 4 mM + Kan,C4,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.133,Methoxybenzoate 4 mM + Kan,C9,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.151,Methoxybenzoate 4 mM + Kan,D4,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.125,Methoxybenzoate 4 mM + Kan,D5,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.127,Methoxybenzoate 4 mM + Kan,D9,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.156,Methoxybenzoate 4 mM + Kan,D10,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.152,Methoxybenzoate 4 mM + Kan,E4,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.171,Methoxybenzoate 4 mM + Kan,E9,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,2,0.15,Methoxybenzoate 4 mM + Kan,F4,0.0379722222222222,2026-04-11 00:25:38.240573
exp2,2,3,0.159,Methoxybenzoate 4 mM + Kan,B4,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.134,Methoxybenzoate 4 mM + Kan,B5,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.147,Methoxybenzoate 4 mM + Kan,C4,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.09,Methoxybenzoate 4 mM + Kan,C9,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.15,Methoxybenzoate 4 mM + Kan,D4,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.129,Methoxybenzoate 4 mM + Kan,D5,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.122,Methoxybenzoate 4 mM + Kan,D9,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.146,Methoxybenzoate 4 mM + Kan,D10,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.153,Methoxybenzoate 4 mM + Kan,E4,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.178,Methoxybenzoate 4 mM + Kan,E9,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,3,0.152,Methoxybenzoate 4 mM + Kan,F4,0.0376388888888888,2026-04-11 02:42:24.658264
exp2,2,4,0.162,Methoxybenzoate 4 mM + Kan,B4,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.136,Methoxybenzoate 4 mM + Kan,B5,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.151,Methoxybenzoate 4 mM + Kan,C4,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.127,Methoxybenzoate 4 mM + Kan,C9,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.154,Methoxybenzoate 4 mM + Kan,D4,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.13,Methoxybenzoate 4 mM + Kan,D5,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.129,Methoxybenzoate 4 mM + Kan,D9,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.102,Methoxybenzoate 4 mM + Kan,D10,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.157,Methoxybenzoate 4 mM + Kan,E4,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.185,Methoxybenzoate 4 mM + Kan,E9,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,4,0.152,Methoxybenzoate 4 mM + Kan,F4,0.0378888888888888,2026-04-11 04:59:09.891129
exp2,2,5,0.161,Methoxybenzoate 4 mM + Kan,B4,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.137,Methoxybenzoate 4 mM + Kan,B5,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.151,Methoxybenzoate 4 mM + Kan,C4,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.12,Methoxybenzoate 4 mM + Kan,C9,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.155,Methoxybenzoate 4 mM + Kan,D4,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.133,Methoxybenzoate 4 mM + Kan,D5,0.0392777777777777,2026-04-11 07:08:45.542779
exp2,2,5,0.14,Methoxybenzoate 4 mM + Kan,D9,0.0392777777777777,2026-04-11 07:08:45.542779
